keys,en,pt_BR
item_mortar_desc,Binding mortar. Holds bricks together. Crafted from limestone + sand.,Argamassa de ligação. Une tijolos. Produzida com calcário + areia.
item_mushrooms_name,Mushrooms,Cogumelos
item_mushrooms_desc,Wild mushrooms found in forests. Used in cooking and medicine.,Cogumelos selvagens encontrados em florestas. Usados na culinária e na medicina.
item_mushrooms_common_name,Common Mushrooms,Cogumelos Comuns
item_mushrooms_common_desc,Edible forest mushrooms. Used in cooking.,Cogumelos comestíveis da floresta. Usados na culinária.
item_mushrooms_special_name,Special Mushrooms,Cogumelos Especiais
item_mushrooms_special_desc,Rare alchemical mushrooms.,Cogumelos alquímicos raros.
item_musk_glands_name,Musk Glands,Glândulas de Almíscar
item_musk_glands_desc,Rare musk glands. Essential perfume ingredient.,Glândulas raras de almíscar. Ingrediente essencial para perfumes.
item_nails_name,Nails,Pregos
item_nails_desc,Iron nails. Basic but essential construction component.,Pregos de ferro. Componente básico\, mas essencial na construção.
item_oak_planks_name,Oak Planks,Tábuas de Carvalho
item_oak_planks_desc,Processed oak planks. Foundation of construction and furniture.,Tábuas processadas de carvalho. Base para construções e móveis.
item_oak_wood_name,Oak Wood,Madeira de Carvalho
item_oak_wood_desc,Sturdy oak logs. Foundation of all woodworking.,Troncos resistentes de carvalho. Base de toda marcenaria.
item_oats_name,Oats,Aveia
item_oats_desc,Nutritious oat grain. Makes hearty porridge.,Grão nutritivo de aveia. Usado para fazer mingau reforçado.
item_obsidian_name,Obsidian,Obsidiana
item_obsidian_desc,Volcanic glass with razor-sharp edges. Valued for luxury items.,Vidro vulcânico com bordas afiadas como navalha. Valorizado em itens de luxo.
item_olive_oil_name,Olive Oil,Azeite de Oliva
item_olive_oil_desc,Pressed olive oil. Essential cooking ingredient. Crafted from olives.,Óleo de oliva prensado. Ingrediente essencial na culinária. Produzido a partir de azeitonas.
item_olives_name,Olives,Azeitonas
item_olives_desc,Mediterranean olives. Pressed into valuable olive oil.,Azeitonas mediterrâneas. Prensadas para produzir azeite valioso.
item_onions_name,Onions,Cebolas
item_onions_desc,Pungent onions. Adds flavor to every dish.,Cebolas fortes e aromáticas. Adicionam sabor a qualquer prato.
item_ore_name,Ore,Minério
item_ore_desc,DELETE ME,APAGAR-ME
item_pears_name,Pears,Peras
item_pears_desc,Sweet pears. Popular in desserts and preserves.,Peras doces. Populares em sobremesas e conservas.
item_pine_planks_name,Pine Planks,Tábuas de Pinheiro
item_pine_planks_desc,Processed pine planks. Good for basic construction. Crafted from pine wood.,Tábuas de pinheiro processadas. Boas para construções básicas. Produzidas a partir de madeira de pinheiro.
item_pine_wood_name,Pine Wood,Madeira de Pinheiro
item_pine_wood_desc,Soft pine logs. Good for basic construction.,Troncos macios de pinheiro. Bons para construções básicas.
item_plant_fiber_name,Plant Fiber,Fibra Vegetal
item_plant_fiber_desc,Basic plant fibers. Foundation of all textiles.,Fibras vegetais básicas. Fundação de todos os têxteis.
item_pottery_set_name,Pottery Set,Conjunto de Cerâmica
item_pottery_set_desc,Basic pottery set. Useful for storage and cooking.,Conjunto básico de cerâmica. Útil para armazenamento e culinária.
item_premium_bait_name,Premium Bait,Isca Premium
item_premium_bait_desc,Highest quality bait. Attracts even the rarest creatures.,Isca da mais alta qualidade. Atrai até as criaturas mais raras.
item_preserved_rations_name,Preserved Rations,Rações Preservadas
item_preserved_rations_desc,Long-lasting preserved food. WAR event essential!,Alimentos preservados de longa duração. Essenciais para eventos de GUERRA!
item_pristine_pelts_name,Pristine Pelts,Peles Imaculadas
item_pristine_pelts_desc,Perfect condition fur pelts. Ultimate luxury material.,Peles em perfeitas condições. Material de luxo supremo.
item_pumpkins_name,Pumpkins,Abóboras
item_pumpkins_desc,Large seasonal pumpkins. Harvest Festival essential!,Grandes abóboras sazonais. Essenciais para o Festival da Colheita!
item_quality_honey_name,Quality Honey,Mel de Qualidade
item_quality_honey_desc,Rare\\, pure honey from wild beehives. Highly valued for its sweetness.,Mel raro.
item_quality_leather_name,Quality Leather,Couro de Qualidade
item_quality_leather_desc,Quality deer leather treated with salt. For bags and gear.,Couro de cervo tratado com sal. Usado para bolsas e equipamentos.
item_quartz_crystal_name,Quartz Crystal,Cristal de Quartzo
item_quartz_crystal_desc,Clear crystalline mineral. Used for decoration and polishing.,Mineral cristalino transparente. Usado em decoração e polimento.
item_rabbit_hide_name,Rabbit Hide,Pele de Coelho
item_rabbit_hide_desc,Soft rabbit pelt. Makes basic leather goods.,Pele macia de coelho. Usada para artigos básicos de couro.
item_rabbit_meat_name,Rabbit Meat,Carne de Coelho
item_rabbit_meat_desc,Fresh rabbit meat. Basic food and bait ingredient.,Carne fresca de coelho. Ingrediente básico para alimentos e iscas.
item_rare_seeds_name,Rare Seeds,Sementes Raras
item_rare_seeds_desc,Mysterious exotic seeds. Valuable trade commodity.,Sementes exóticas misteriosas. Mercadoria valiosa para comércio.
item_rare_spices_name,Rare Spices,Especiarias Raras
item_rare_spices_desc,Exotic spices (saffron\\, cinnamon\\, pepper\\, ginger). Luxury food ingredient.,Especiarias exóticas (açafrão).
item_raw_meat_name,Raw Meat,Carne Crua
item_raw_meat_desc,Fresh meat from hunted animals. Can be cooked or preserved.,Carne fresca de animais caçados. Pode ser cozida ou preservada.
item_resin_name,Resin,Resina
item_resin_desc,Hardened tree resin. Used for adhesives and luxury items.,Resina endurecida de árvore. Usada em adesivos e itens de luxo.
item_rivets_name,Rivets,Rebites
item_rivets_desc,Small metal fasteners. Essential for armor and construction.,Pequenos fixadores metálicos. Essenciais para armaduras e construções.
item_rope_name,Rope,Corda
item_rope_desc,Strong hemp rope. Construction and utility essential. Crafted from hemp.,Corda forte de cânhamo. Essencial para construção e uso geral. Produzida a partir de cânhamo.
item_ruby_name,Ruby,Rubi
item_ruby_desc,Deep red gemstone. The most valuable common gem.,Pedra preciosa vermelha profunda. A mais valiosa entre as gemas comuns.
item_rye_name,Rye,Centeio
item_rye_desc,Hardy rye grain. Makes dark bread and ale.,Grão resistente de centeio. Usado para fazer pão escuro e cerveja.
item_salt_name,Salt,Sal
item_salt_desc,Essential mineral for food preservation and leather tanning.,Mineral essencial para preservação de alimentos e curtimento de couro.
item_saltpeter_name,Saltpeter,Salitre
item_saltpeter_desc,Crystalline mineral used in alchemical processes.,Mineral cristalino usado em processos alquímicos.
item_sand_name,Sand,Areia
item_sand_desc,Fine granular material. Essential for glassmaking.,Material granular fino. Essencial para a fabricação de vidro.
item_sandstone_name,Sandstone,Arenito
item_sandstone_desc,Softer sedimentary rock used for basic construction.,Rocha sedimentar mais macia usada em construções básicas.
item_sapphire_name,Sapphire,Safira
item_sapphire_desc,Striking blue gemstone. Prized by nobility for jewelry.,Pedra preciosa azul intensa. Valorizada pela nobreza em joias.
item_seasoned_meat_name,Seasoned Meat,Carne Temperada
item_seasoned_meat_desc,Herb-seasoned meat. Quality food for celebrations!,Carne temperada com ervas. Alimento de qualidade para celebrações!
item_silk_name,Silk,Seda
item_silk_desc,Rare luxurious silk.,Seda rara e luxuosa.
item_silk_fabric_name,Silk Fabric,Tecido de Seda
item_silk_fabric_desc,Luxurious silk fabric. For nobility and royalty.,Tecido de seda luxuoso. Para nobreza e realeza.
item_silver_fittings_name,Silver Fittings,Ferragens de Prata
item_silver_fittings_desc,Delicate silver components for fine craftsmanship and jewelry.,Componentes delicados de prata para artesanato e joalheria refinada.
item_silver_ingot_name,Silver Ingot,Lingote de Prata
item_silver_ingot_desc,Precious silver ingot. For jewelry and fine items.,Lingote precioso de prata. Usado para joias e itens finos.
item_silver_ore_name,Silver Ore,Minério de Prata
item_silver_ore_desc,Precious silver ore. Used for jewelry and fine metalwork.,Minério precioso de prata. Usado em joalheria e trabalhos de metal fino.
item_sinew_name,Sinew,Tendão
item_sinew_desc,Animal sinew. Strong binding material for bows and tools. From Quick Snare traps.,Tendão animal. Material de amarração forte para arcos e ferramentas. Obtido em armadilhas rápidas.
item_slate_name,Slate,Ardósia
item_slate_desc,Fine-grained metamorphic rock used for roofing and decoration.,Rocha metamórfica de granulação fina usada em telhados e decoração.
item_soap_name,Soap,Sabão
item_soap_desc,Basic soap. Essential for hygiene and trade.,Sabão básico. Essencial para higiene e comércio.
item_special_mushrooms_name,Special Mushrooms,Cogumelos Especiais
item_special_mushrooms_desc,Rare magical mushrooms with mysterious properties. Essential for advanced alchemy.,Cogumelos mágicos raros com propriedades misteriosas. Essenciais para alquimia avançada.
item_stone_name,Stone,Pedra
item_stone_desc,Basic stone extracted from mining. Essential for construction.,Pedra básica extraída da mineração. Essencial para construções.
item_stone_block_name,Stone Block,Bloco de Pedra
item_stone_block_desc,Carved stone blocks for construction. Foundation of great structures.,Blocos de pedra esculpidos para construção. Fundação de grandes estruturas.
item_sulfur_name,Sulfur,Enxofre
item_sulfur_desc,Bright yellow mineral with alchemical properties.,Mineral amarelo brilhante com propriedades alquímicas.
item_tallow_name,Tallow,Sebo
item_tallow_desc,Rendered animal fat. Used for candles and leather treatment.,Gordura animal derretida. Usada para velas e tratamento de couro.
item_teeth_name,Teeth,Dentes
item_teeth_desc,Animal teeth. Trophy decoration.,Dentes de animais. Decoração de troféus.
item_thread_name,Thread,Fio
item_thread_desc,Basic thread spun from plant fibers. Foundation of all textiles. Crafted from plant fiber.,Fio básico fiado a partir de fibras vegetais. Fundação de todos os têxteis. Produzido a partir de fibra vegetal.
item_tin_ingot_name,Tin Ingot,Lingote de Estanho
item_tin_ingot_desc,Smelted tin ingot. Combined with copper to create bronze.,Lingote de estanho fundido. Combinado com cobre para criar bronze.
item_tin_ore_name,Tin Ore,Minério de Estanho
item_tin_ore_desc,Soft metal ore. Combined with copper to create bronze.,Minério metálico macio. Combinado com cobre para criar bronze.
item_topaz_name,Topaz,Topázio
item_topaz_desc,Golden-yellow gemstone. Popular for decorative jewelry.,Pedra preciosa amarela-dourada. Popular em joias decorativas.
item_tree_sap_name,Tree Sap,Seiva de Árvore
item_tree_sap_desc,Sticky tree sap. Used as adhesive.,Seiva pegajosa de árvore. Usada como adesivo.
item_trophy_antlers_name,Trophy Antlers,Galhada de Troféu
item_trophy_antlers_desc,Magnificent antlers. Valuable trophy decoration.,Galhadas magníficas. Decoração de troféu valiosa.
item_turnips_name,Turnips,Nabos
item_turnips_desc,Humble root vegetables. Winter food staple.,Vegetais de raiz simples. Alimento básico de inverno.
item_ultimate_endgame_1_name,Philosopher's Stone,Pedra Filosofal
item_ultimate_endgame_1_desc,Legendary artifact of ultimate transmutation. Turns base metals to gold.,Artefato lendário de transmutação suprema. Transforma metais comuns em ouro.
item_ultimate_endgame_2_name,Dragon Heart Core,Coração Pulsante de Dragão
item_ultimate_endgame_2_desc,Pulsing heart of an ancient dragon. Raw magical power incarnate.,Coração pulsante de um dragão ancestral. Poder mágico bruto encarnado.
item_ultimate_endgame_4_name,World Tree Sapling,Muda da Árvore do Mundo
item_ultimate_endgame_4_desc,Young sapling of the mythical World Tree. Will grow to touch the heavens.,Jovem muda da mítica Árvore do Mundo. Crescerá até tocar os céus.
item_ultimate_endgame_6_name,Eternal Flame Relic,Relíquia da Chama Eterna
item_ultimate_endgame_6_desc,Relic containing an eternal flame that never dies. Ultimate power source.,Relíquia contendo uma chama eterna que nunca se apaga. Fonte suprema de poder.
item_walnuts_name,Walnuts,Nozes
item_walnuts_desc,Prized walnuts. Luxury food ingredient for pastries.,Nozes valorizadas. Ingrediente luxuoso para confeitaria.
item_water_name,Water,Água
item_water_desc,Clean water. Essential for many crafting processes.,Água limpa. Essencial para muitos processos de criação.
item_wheat_name,Wheat,Trigo
item_wheat_desc,Golden wheat stalks. Basis of all bread and flour.,Espigas douradas de trigo. Base de todo pão e farinha.
item_willow_planks_name,Willow Planks,Tábuas de Salgueiro
item_willow_planks_desc,Processed willow wood planks. Flexible and perfect for curved construction.,Tábuas processadas de madeira de salgueiro. Flexíveis e perfeitas para construções curvas.
item_willow_wood_name,Willow Wood,Madeira de Salgueiro
item_willow_wood_desc,Flexible wood from willow trees. Perfect for bending and weaving.,Madeira flexível proveniente de salgueiros. Ideal para curvar e trançar.
item_wine_name,Wine,Vinho
item_wine_desc,Fermented grape wine. Celebration essential!,Vinho fermentado de uvas. Essencial para celebrações!
item_woad_plant_name,Woad Plant,Planta Woad
item_woad_plant_desc,Traditional blue dye plant. Ancient dyeing technique. Found in Premium Bundles.,Planta tradicional de corante azul. Técnica de tingimento ancestral. Encontrada em Pacotes Premium.
item_wolf_pelt_name,Wolf Pelt,Pele de Lobo
item_wolf_pelt_desc,Thick wolf pelt. Prized for luxury clothing.,Pele espessa de lobo. Valorizada para roupas de luxo.
item_wood_name,Wood,Madeira
item_wood_desc,Raw wood harvested from trees. Used for construction and crafting.,Madeira bruta extraída de árvores. Usada para construção e artesanato.
item_wooden_beam_name,Wooden Beam,Viga de Madeira
item_wooden_beam_desc,Reinforced wooden beam. Essential construction component.,Viga de madeira reforçada. Componente essencial de construção.
item_wooden_handle_name,Wooden Handle,Cabo de Madeira
item_wooden_handle_desc,A sturdy wooden handle for tools and weapons.,Cabo de madeira resistente para ferramentas e armas.
item_wool_fabric_name,Wool Fabric,Tecido de Lã
item_wool_fabric_desc,Warm wool fabric. Perfect for winter clothing.,Tecido quente de lã. Perfeito para roupas de inverno.
item_explorer_pack_name,Explorer\'s Pack,Mochila de Explorador
item_explorer_pack_desc,Explorer's pack.,Mochila de explorador.
item_large_backpack_name,Large Backpack,Mochila Grande
item_large_backpack_desc,Large backpack.,Mochila grande.
item_master_satchel_name,Master\'s Satchel,Bolsa do Mestre
item_master_satchel_desc,Master-crafted satchel.,Bolsa artesanal de mestre.
item_masters_satchel_name,Master's Satchel,Bolsa do Mestre
item_masters_satchel_desc,Premium storage satchel with advanced organization. For master crafters.,Bolsa de armazenamento premium com organização avançada. Para artesãos mestres.
item_simple_bag_name,Simple Bag,Bolsa Simples
item_simple_bag_desc,Simple cloth bag.,Bolsa simples de tecido.
item_small_pouch_name,Small Pouch,Bolsa Pequena
item_small_pouch_desc,Small leather pouch.,Bolsa pequena de couro.
item_storage_chest_name,Storage Chest,Baú de Armazenamento
item_storage_chest_desc,Wooden storage chest. Household storage.,Baú de madeira para armazenamento doméstico.
item_agricultural_tools_name,Agricultural Tools,Ferramentas Agrícolas
item_agricultural_tools_desc,Farming tools (hoes\\, rakes\\, sickles).,Ferramentas agrícolas (enxadas).
item_basic_tool_set_name,Basic Tool Set,Conjunto de Ferramentas Básico
item_basic_tool_set_desc,Basic tools for crafting.,Ferramentas básicas para artesanato.
item_construction_kit_name,Construction Kit,Kit de Construção
item_construction_kit_desc,Complete set of tools for building and repairs.,Conjunto completo de ferramentas para construção e reparos.
item_crafting_supplies_name,Crafting Supplies,Suprimentos de Artesanato
item_crafting_supplies_desc,General crafting supplies kit.,Kit geral de suprimentos de criação.
item_gathering_satchel_name,Gathering Satchel,Bolsa de Coleta
item_gathering_satchel_desc,Specialized gathering bag.,Bolsa especializada para coleta.
item_master_trading_caravan_name,Master Trading Caravan,Caravana de Comércio Mestre
item_master_trading_caravan_desc,Fully equipped trading caravan.,Caravana de comércio totalmente equipada.
item_premium_workshop_tools_name,Premium Workshop Tools,Ferramentas de Oficina Premium
item_premium_workshop_tools_desc,High-quality workshop tools.,Ferramentas de oficina de alta qualidade.
item_workshop_tools_name,Workshop Tools,Ferramentas de Oficina
item_workshop_tools_desc,Wrench\\, pliers\\, tongs\\, shears.,Chave inglesa.
